 Secondi;UTC;Lan;Lon;SOP;COG;Alt1;Int_temp;Ext_temp;Ext_press;Alt2;Ext_um;O3;CO2_raw;CO2_el2
0;11:48:30;42 38.23758 N;012 33.07254 E;;;390,60;31,88;18,10;97.615;405,64;65,23;0,02;213,62;415,00
2;11:48:32;42 38.24682 N;012 33.07381 E;;;398,10;32,00;18,07;97.530;413,10;65,00;0,02;209,50;414,69
4;11:48:34;42 38.25797 N;012 33.07426 E;;;413,10;32,00;18,01;97.385;425,81;64,96;0,02;196,54;413,97
6;11:48:36;42 38.26907 N;012 33.07524 E;;;425,80;32,13;17,95;97.236;438,89;64,48;0,02;184,59;413,29
8;11:48:38;42 38.27804 N;012 33.07711 E;;;438,80;32,00;17,87;97.119;449,13;63,87;0,02;185,80;413,24
10;11:48:40;42 38.28946 N;012 33.07836 E;;;449,10;32,00;17,80;96.976;461,70;63,57;0,02;170,19;412,40
12;11:48:42;42 38.29727 N;012 33.07902 E;;;461,70;32,00;17,73;96.850;472,77;63,61;0,02;174,68;412,51
14;11:48:44;42 38.30585 N;012 33.07932 E;;;472,70;32,00;17,65;96.715;484,64;63,60;0,02;183,55;412,83
16;11:48:46;42 38.31573 N;012 33.07980 E;;;484,60;32,13;;;;;;;412,83
18;11:48:48;42 38.32757 N;012 33.08028 E;;;495,20;32,13;17,58;96.595;495,21;63,68;0,02;184,02;412,83
20;11:48:50;42 38.33610 N;012 33.08042 E;;;505,10;32,25;17,53;96.483;505,11;63,60;0,02;176,18;412,37
22;11:48:52;42 38.34228 N;012 33.08094 E;;;517,30;32,13;17,44;96.344;517,36;63,59;0,02;164,86;411,75
24;11:48:54;42 38.35260 N;012 33.08150 E;;;529,10;32,13;17,37;96.211;529,11;63,64;0,02;153,90;411,14
26;11:48:56;42 38.36526 N;012 33.08194 E;;;541,40;32,13;17,28;96.071;541,48;63,82;0,02;165,80;411,62
28;11:48:58;42 38.37234 N;012 33.08224 E;;;553,30;32,25;17,25;95.938;553,34;63,88;0,02;178,04;412,11
30;11:49:00;42 38.38111 N;012 33.08272 E;;;564,80;32,13;17,12;95.807;564,85;63,91;0,02;174,89;411,87
32;11:49:02;42 38.39106 N;012 33.08316 E;;;574,60;32,25;17,07;95.697;574,63;64,07;0,02;179,25;412,00
34;11:49:04;42 38.40072 N;012 33.08352 E;;;585,40;32,13;17,03;95.576;585,44;64,32;0,02;167,17;411,35
36;11:49:06;42 38.41188 N;012 33.08412 E;;;596,10;32,13;16,96;95.456;596,11;64,50;0,02;159,74;410,92
38;11:49:08;42 38.42015 N;012 33.08478 E;;;608,60;32,13;16,87;95.315;608,65;64,68;0,02;152,68;410,51
40;11:49:10;42 38.43150 N;012 33.08514 E;;;619,90;32,25;16,82;95.189;619,92;64,82;0,02;156,64;410,62
42;11:49:12;42 38.43494 N;012 33.08574 E;;;631,10;32,13;16,77;95.064;631,12;64,93;0,02;156,90;410,56
44;11:49:14;42 38.43914 N;012 33.08611 E;;;642,60;32,38;16,68;94.935;642,61;65,07;0,02;157,40;410,51
46;11:49:16;42 38.44386 N;012 33.08693 E;;;650,70;32,38;16,65;94.845;650,71;65,13;0,02;173,28;411,19
48;11:49:18;42 38.44752 N;012 33.08725 E;;;660,90;32,25;;;;;;;411,19
50;11:49:20;42 38.45227 N;012 33.08771 E;;;668,80;32,25;16,58;94.730;660,99;65,23;0,02;177,84;411,19
52;11:49:22;42 38.45762 N;012 33.08823 E;;;678,60;32,25;16,53;94.642;668,87;65,34;0,02;182,33;411,33
54;11:49:24;42 38.46204 N;012 33.08867 E;;;689,60;32,25;16,49;94.534;678,61;65,50;0,02;186,77;411,47
56;11:49:26;42 38.46697 N;012 33.08900 E;;;699,90;32,38;16,43;94.411;689,67;65,63;0,02;191,50;411,62
58;11:49:28;42 38.46972 N;012 33.08961 E;;;709,20;32,50;16,36;94.296;699,99;65,73;0,02;196,43;411,79
